ARP Opcode,ARP HW Size,ICMP Checksum,ICMP Seq LE,ICMP Unused,HTTP Content-Length,HTTP Response,HTTP TLS Port,TCP ACK,TCP ACK Raw,TCP Checksum,TCP FIN,TCP RST,TCP SYN,TCP SYNACK,TCP Flags,TCP Flags ACK,TCP Length,TCP Seq,UDP Stream,UDP Time Delta,DNS Query Name,DNS Query QU,DNS Query Type,DNS Retransmission,DNS Retransmit Req,DNS Retransmit Req In,MQTT Clean Session,MQTT Flags,MQTT HDR Flags,MQTT Length,MQTT Decoded As,MQTT Msg Type,MQTT Proto Len,MQTT Topic Len,MQTT Version,Modbus TCP Length,Modbus Trans ID,Modbus Unit ID
0,0,0,0,0,0,0,0,196,1857195710,0x0000bfdb,0,0,0,0,0x00000010,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,770667169,0x00004f5f,0,0,0,0,0x00000018,1,30,196,0,0.0,0,0,0,0,0,0,"[1m[33mLayer MQTT
:[0m[1m[32m	Expert Info (Note/Protocol):[0m[1m Unknown version (missing the CONNECT packet?)
[0m[1m	Unknown version (missing the CONNECT packet?)
[0m[1m[32m	Severity level:[0m[1m Note
[0m[1m[32m	Group:[0m[1m Protocol
[0m[1m[32m	Header Flags:[0m[1m 0x30, Message Type: Publish Message, QoS Level: At most once delivery (Fire and Forget)
[0m[1m[32m	0011 .... = Message Type:[0m[1m Publish Message (3)
[0m[1m[32m	.... 0... = DUP Flag:[0m[1m Not set
[0m[1m[32m	.... .00. = QoS Level:[0m[1m At most once delivery (Fire and Forget) (0)
[0m[1m[32m	.... ...0 = Retain:[0m[1m Not set
[0m[1m[32m	Msg Len:[0m[1m 28
[0m[1m[32m	Topic Length:[0m[1m 10
[0m[1m[32m	Topic:[0m[1m esp32/tank
[0m[1m[32m	Message:[0m[1m 7b22776c223a31322c227473223a307d
[0m",0,0x00000030,28,0,3,0,10,0,0,0,0
0,0,0,0,0,0,0,0,226,1857195740,0x0000bfbd,0,0,0,0,0x00000010,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1185,1896820383,0x0000a027,0,0,0,0,0x00000010,1,1460,196054,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1185,1896820383,0x0000511f,0,0,0,0,0x00000018,1,3,197514,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,197517,2116411561,0x0000363e,0,0,0,0,0x00000010,1,0,1185,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,197517,2116411561,0x00006454,0,0,0,0,0x00000018,1,32,1185,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1217,1896820415,0x000036d1,0,0,0,0,0x00000010,1,0,197517,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1217,1896820415,0x0000eff1,0,0,0,0,0x00000018,1,71,197517,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,197588,2116411632,0x00009465,0,0,0,0,0x00000018,1,32,1217,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1249,1896820447,0x0000366a,0,0,0,0,0x00000010,1,0,197588,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1249,1896820447,0x0000dbf4,0,0,0,0,0x00000018,1,1137,197588,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,198725,2116412769,0x00001d70,0,0,0,0,0x00000018,1,32,1249,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1281,1896820479,0x000031d9,0,0,0,0,0x00000010,1,0,198725,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1281,1896820479,0x0000c2ed,0,0,0,0,0x00000018,1,27,198725,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,198752,2116412796,0x00007d43,0,0,0,0,0x00000018,1,27,1281,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1308,1896820506,0x000031a3,0,0,0,0,0x00000010,1,0,198752,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1308,1896820506,0x000057c0,0,0,0,0,0x00000010,1,1460,198752,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1308,1896820506,0x00004146,0,0,0,0,0x00000010,1,1460,200212,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1308,1896820506,0x000014bc,0,0,0,0,0x00000018,1,900,201672,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,202572,2116416616,0x00002204,0,0,0,0,0x00000010,1,0,1308,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,202572,2116416616,0x00004a86,0,0,0,0,0x00000018,1,32,1308,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,202572,2116416616,0x00003af4,0,0,0,0,0x00000018,1,27,1340,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000227c,0,0,0,0,0x00000010,1,0,202572,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000afa6,0,0,0,0,0x00000018,1,27,202572,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,202599,2116416643,0x000021ae,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000204f,0,0,0,0,0x00000010,1,1460,202599,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00001f1a,0,0,0,0,0x00000010,1,1460,204059,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00009b9a,0,0,0,0,0x00000010,1,1460,205519,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000fd6e,0,0,0,0,0x00000010,1,1460,206979,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000f56c,0,0,0,0,0x00000018,1,1460,208439,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00009b20,0,0,0,0,0x00000010,1,1460,209899,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00002381,0,0,0,0,0x00000010,1,1460,211359,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00005fd3,0,0,0,0,0x00000010,1,1460,212819,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000ed65,0,0,0,0,0x00000010,1,1460,214279,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x000023a2,0,0,0,0,0x00000018,1,1460,215739,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,205519,2116419563,0x00001646,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x000057df,0,0,0,0,0x00000010,1,1460,217199,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000abf5,0,0,0,0,0x00000018,1,324,218659,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,208439,2116422483,0x00000ade,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,212819,2116426863,0x0000f9c1,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,215739,2116429783,0x0000ee59,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,217199,2116431243,0x0000e8a5,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,218983,2116433027,0x0000e1ad,0,0,0,0,0x00000010,1,0,1367,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00000963,0,0,0,0,0x00000010,1,1460,218983,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x00007469,0,0,0,0,0x00000010,1,1460,220443,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000ba82,0,0,0,0,0x00000010,1,1460,221903,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x0000096f,0,0,0,0,0x00000010,1,1460,223363,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1367,1896820565,0x000062ad,0,0,0,0,0x00000010,1,1460,224823,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
